,都道府県コード,都道府県名,元号,和暦（年）,西暦（年）,注,人口（総数）,前回集計時との差分,増減割合
267,27,大阪府,昭和,20.0,1945.0,1),"2,800,958","-1,992,008",-71.12%
315,27,大阪府,昭和,25.0,1950.0,,"3,857,047","1,056,089",27.38%
363,27,大阪府,昭和,30.0,1955.0,,"4,618,308","761,261",16.48%
411,27,大阪府,昭和,35.0,1960.0,2),"5,504,746","886,438",16.10%
459,27,大阪府,昭和,40.0,1965.0,,"6,657,189","1,152,443",17.31%
509,27,大阪府,昭和,45.0,1970.0,,"7,620,480","963,291",12.64%
559,27,大阪府,昭和,50.0,1975.0,,"8,278,925","658,445",7.95%
609,27,大阪府,昭和,55.0,1980.0,,"8,473,446","194,521",2.30%
659,27,大阪府,昭和,60.0,1985.0,,"8,668,095","194,649",2.25%
709,27,大阪府,平成,2.0,1990.0,,"8,734,516","66,421",0.76%
759,27,大阪府,平成,7.0,1995.0,,"8,797,268","62,752",0.71%
809,27,大阪府,平成,12.0,2000.0,,"8,805,081","7,813",0.09%
859,27,大阪府,平成,17.0,2005.0,,"8,817,166","12,085",0.14%
909,27,大阪府,平成,22.0,2010.0,,"8,865,245","48,079",0.54%
959,27,大阪府,平成,27.0,2015.0,,"8,839,469","-25,776",-0.29%
28,28,兵庫県,大正,9.0,1920.0,,"2,301,799",0,0.00%
76,28,兵庫県,大正,14.0,1925.0,,"2,454,679","152,880",6.23%
124,28,兵庫県,昭和,5.0,1930.0,,"2,646,301","191,622",7.24%
172,28,兵庫県,昭和,10.0,1935.0,,"2,923,249","276,948",9.47%
220,28,兵庫県,昭和,15.0,1940.0,,"3,221,232","297,983",9.25%
268,28,兵庫県,昭和,20.0,1945.0,1),"2,821,892","-399,340",-14.15%
316,28,兵庫県,昭和,25.0,1950.0,,"3,309,935","488,043",14.74%
364,28,兵庫県,昭和,30.0,1955.0,,"3,620,947","311,012",8.59%
412,28,兵庫県,昭和,35.0,1960.0,2),"3,906,487","285,540",7.31%
460,28,兵庫県,昭和,40.0,1965.0,,"4,309,944","403,457",9.36%
510,28,兵庫県,昭和,45.0,1970.0,,"4,667,928","357,984",7.67%
560,28,兵庫県,昭和,50.0,1975.0,,"4,992,140","324,212",6.49%
610,28,兵庫県,昭和,55.0,1980.0,,"5,144,892","152,752",2.97%
660,28,兵庫県,昭和,60.0,1985.0,,"5,278,050","133,158",2.52%
710,28,兵庫県,平成,2.0,1990.0,,"5,405,040","126,990",2.35%
760,28,兵庫県,平成,7.0,1995.0,,"5,401,877","-3,163",-0.06%
810,28,兵庫県,平成,12.0,2000.0,,"5,550,574","148,697",2.68%
860,28,兵庫県,平成,17.0,2005.0,,"5,590,601","40,027",0.72%
910,28,兵庫県,平成,22.0,2010.0,,"5,588,133","-2,468",-0.04%
960,28,兵庫県,平成,27.0,2015.0,,"5,534,800","-53,333",-0.96%
29,29,奈良県,大正,9.0,1920.0,,"564,607",0,0.00%
77,29,奈良県,大正,14.0,1925.0,,"583,828","19,221",3.29%
125,29,奈良県,昭和,5.0,1930.0,,"596,225","12,397",2.08%
173,29,奈良県,昭和,10.0,1935.0,,"620,471","24,246",3.91%
221,29,奈良県,昭和,15.0,1940.0,,"620,509",38,0.01%
269,29,奈良県,昭和,20.0,1945.0,1),"779,685","159,176",20.42%
317,29,奈良県,昭和,25.0,1950.0,,"763,883","-15,802",-2.07%
365,29,奈良県,昭和,30.0,1955.0,,"776,861","12,978",1.67%
413,29,奈良県,昭和,35.0,1960.0,2),"781,058","4,197",0.54%
461,29,奈良県,昭和,40.0,1965.0,,"825,965","44,907",5.44%
511,29,奈良県,昭和,45.0,1970.0,,"930,160","104,195",11.20%
561,29,奈良県,昭和,50.0,1975.0,,"1,077,491","147,331",13.67%
611,29,奈良県,昭和,55.0,1980.0,,"1,209,365","131,874",10.90%
661,29,奈良県,昭和,60.0,1985.0,,"1,304,866","95,501",7.32%
711,29,奈良県,平成,2.0,1990.0,,"1,375,481","70,615",5.13%
761,29,奈良県,平成,7.0,1995.0,,"1,430,862","55,381",3.87%
811,29,奈良県,平成,12.0,2000.0,,"1,442,795","11,933",0.83%
861,29,奈良県,平成,17.0,2005.0,,"1,421,310","-21,485",-1.51%
911,29,奈良県,平成,22.0,2010.0,,"1,400,728","-20,582",-1.47%
961,29,奈良県,平成,27.0,2015.0,,"1,364,316","-36,412",-2.67%
30,30,和歌山県,大正,9.0,1920.0,,"750,411",0,0.00%
78,30,和歌山県,大正,14.0,1925.0,,"787,511","37,100",4.71%
126,30,和歌山県,昭和,5.0,1930.0,,"830,748","43,237",5.20%
174,30,和歌山県,昭和,10.0,1935.0,,"864,087","33,339",3.86%
222,30,和歌山県,昭和,15.0,1940.0,,"865,074",987,0.11%
270,30,和歌山県,昭和,20.0,1945.0,1),"936,006","70,932",7.58%
318,30,和歌山県,昭和,25.0,1950.0,,"982,113","46,107",4.69%
366,30,和歌山県,昭和,30.0,1955.0,,"1,006,819","24,706",2.45%
414,30,和歌山県,昭和,35.0,1960.0,2),"1,002,191","-4,628",-0.46%
462,30,和歌山県,昭和,40.0,1965.0,,"1,026,975","24,784",2.41%
512,30,和歌山県,昭和,45.0,1970.0,,"1,042,736","15,761",1.51%
562,30,和歌山県,昭和,50.0,1975.0,,"1,072,118","29,382",2.74%
612,30,和歌山県,昭和,55.0,1980.0,,"1,087,012","14,894",1.37%
